,SKU,,,Product Name
,HW3006MK,,,Rat Rig V-Core 3.1 - EVA 3.0 Hardware Pack
,,,,
,B.O.M.,,,
QTY,SKU,Length (mm),Tap,Item name
4,HW2348SC,,,Cap Head Screw M3 (Single) (Length: 6mm)
28,HW1502SC,,,Cap Head Screw M3 (Single) (Length: 8mm)
2,HW1505SC,,,Cap Head Screw M3 (Single) (Length: 10mm)
6,HW1292SC,,,Cap Head Screw M3 (Single) (Length: 12mm)
4,HW1504SC,,,Cap Head Screw M3 (Single) (Length: 20mm)
1,HW1290SC,,,Cap Head Screw M3 (Single) (Length: 25mm)
9,HW1868SC,,,Cap Head Screw M3 (Single) (Length: 35mm)
2,HW2138SC,,,Cap Head Screw M5 (Single) (Length: 40mm)
43,HW1508NC,,,Hex Nut - M3
2,HW1251NC,,,Hex Locking Nut - M3
2,HW1039NC,,,Hex Locking Nut - M5
1,HW2907GC,72,,PTFE Tube Generic - OD 4mm ID 2mm - 1000mm
,,,,
